name,source,category,economic_family,economic_subfamily,lineage_status,evidence_tier
alpha158_SUMN5,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_SUMN60,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_SUMP10,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_SUMP20,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_SUMP30,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_SUMP5,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_SUMP60,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,legacy_v1,A_or_B_legacy
alpha158_VMA10,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VMA20,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VMA30,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VMA5,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VMA60,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSTD10,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSTD20,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSTD30,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSTD5,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSTD60,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMD10,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMD20,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMD30,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMD5,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMD60,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMN10,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMN20,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMN30,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMN5,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMN60,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMP10,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMP20,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMP30,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMP5,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VSUMP60,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_VWAP0,alpha158,alpha158_price_volume_lag,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_WVMA10,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_WVMA20,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_WVMA30,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_WVMA5,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_WVMA60,alpha158,alpha158_volume_liquidity,Liquidity,VolumeAmount,legacy_v1,A_or_B_legacy
alpha158_CNTN5,alpha158,alpha158_price_momentum_balance,MomentumTrend,TechnicalTrend,recovered,A
alpha158_IMAX5,alpha158,alpha158_rolling_price,VolatilityRisk,RollingRiskOrPriceState,recovered,A
alpha158_RANK5,alpha158,alpha158_rolling_price,VolatilityRisk,RollingRiskOrPriceState,recovered,A
alpha360_CLOSE1,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE10,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE11,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE12,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE13,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE14,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE15,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE16,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE17,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE18,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE19,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE2,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE20,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE21,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE22,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE23,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE24,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE25,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE26,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE27,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE28,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE29,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE3,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE30,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE31,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE32,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE33,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE34,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE35,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE36,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE37,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE38,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE39,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE4,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE40,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE41,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE42,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE43,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE44,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE45,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE46,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE47,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE48,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE49,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE5,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE50,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE51,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE52,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE53,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE54,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE55,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE56,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE57,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE58,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE59,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE6,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE7,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE8,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_CLOSE9,alpha360,alpha360_close_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH0,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH1,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH10,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH11,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH12,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH13,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH14,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH15,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH16,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH17,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH18,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH19,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH2,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH20,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH21,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH22,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH23,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH24,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH25,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH26,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH27,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH28,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH29,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH3,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH30,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH31,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH32,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH33,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH34,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH35,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH36,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH37,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH38,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH39,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH4,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH40,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH41,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH42,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH43,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH44,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH45,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH46,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH47,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH48,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH49,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH5,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH50,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH51,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH52,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH53,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH54,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH55,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH56,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH57,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH58,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH59,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH6,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH7,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH8,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_HIGH9,alpha360,alpha360_high_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW0,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW1,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW10,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW11,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW12,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW13,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW14,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW15,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW16,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW17,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW18,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW19,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW2,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW20,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW21,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW22,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW23,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW24,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW25,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW26,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW27,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW28,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW29,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW3,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW30,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW31,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW32,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW33,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW34,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW35,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW36,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW37,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW38,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW39,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW4,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW40,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW41,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW42,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW43,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW44,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW45,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW46,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW47,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW48,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW49,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW5,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW50,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW51,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW52,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW53,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW54,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW55,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW56,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW57,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW58,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW59,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW6,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW7,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW8,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_LOW9,alpha360,alpha360_low_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN0,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN1,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN10,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN11,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN12,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN13,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN14,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN15,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN16,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN17,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN18,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN19,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN2,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN20,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN21,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN22,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN23,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN24,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN25,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN26,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN27,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
alpha360_OPEN28,alpha360,alpha360_open_window,PriceTrend,NormalizedLag,legacy_v1,A_or_B_legacy
