factor,canonical_factor_id,source,economic_family,primary_family,analysis_direction,direction_origin,rule_id,agreement,pass_count,backend_available_count,alphalens_candidate_status,jqfactor_candidate_status,qlib_candidate_status,alphalens_reasons,jqfactor_reasons,qlib_reasons,qlib_ic__mean,qlib_ic__valid_dates,annual_direction_agreement,alphalens_quantile_monotonicity_raw,alphalens_q5_minus_q1__mean,jqfactor_returns__mean,jqfactor_return_annual_direction_agreement,qlib_pearson__mean,qlib_long_short__mean,fdr_bh_q_value,fdr_by_q_value,ic_sample_coverage,direction_instability,regime_concentrated,warnings
alpha360_HIGH15,ada7891273ca389e2230b9fe82d190128c14553b536155205a6622a8a17bd37f,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.0501609621322689,3361,1.0,0.8999999999999998,0.010643978420429927,0.005055941968604568,0.7142857142857143,0.038621208072164466,0.005330323640793114,0.0012528455151405,0.0090427193914192,0.936344927189211,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH16,66b19a5a485b696c82ab2b63850ce6fb18465e6e1ecdc3dc5c93f6e442937d62,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.052194329643304074,3361,1.0,0.8999999999999998,0.010959346897292025,0.005180993061545763,0.7142857142857143,0.03987073457215893,0.005483936128912401,0.0012528455151405,0.0090427193914192,0.936081993025804,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH17,143330f6b21cee295d471181022f4376a7f87657848c1d4f0cf39be54a63ca6a,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.054163447350557795,3361,1.0,0.8999999999999998,0.011146846840709428,0.005306958983186212,0.8571428571428571,0.041126799988115574,0.005584486467520495,0.0012528455151405,0.0090427193914192,0.9358242114627171,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH18,297b0bb8914a2731254f844af4bedb8e123c903f58959fa5a3086702eee6c3dd,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.056027975827287226,3361,1.0,0.9999999999999999,0.011374697851222394,0.005419989019230897,0.8571428571428571,0.042228129624148986,0.005698737734236113,0.0012528455151405,0.0090427193914192,0.9355744618942474,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH19,60dd14044abf3379137cd1730e5a6211336b1c85532ec5ecedb8dd80c3166314,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.05776353711576393,3361,1.0,0.9999999999999999,0.011573253129738498,0.005534605924110182,0.8571428571428571,0.04327593660782063,0.005792137109864831,0.0012528455151405,0.0090427193914192,0.9353401701267389,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH20,cb8fb9d72940c2be94f5d961b6f1d58a553a3758ef6fed6bfeb7a9154b45754a,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.059047165262746476,3361,1.0,0.9999999999999999,0.011719710136340624,0.005594295792354861,0.8571428571428571,0.04398464982831669,0.005867794000044347,0.0012528455151405,0.0090427193914192,0.9351075453769809,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH21,c10a90a0b30730723c504164a56a7504bb846d20619c8bcc3fe608ac345a64c5,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06018496908609058,3361,1.0,0.9999999999999999,0.011907403449620326,0.005652024634539283,0.8571428571428571,0.04458441664256014,0.005957774977707579,0.0012528455151405,0.0090427193914192,0.9348914392576618,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH22,7551e13d6cdb91efd07ed2e24eafe9f960b3b62ff617ba80f0d67715d4c9cfb1,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06122972875229929,3361,1.0,0.9999999999999999,0.012067972107595604,0.005700068822442945,0.8571428571428571,0.04512883889604324,0.006042573783448431,0.0012528455151405,0.0090427193914192,0.934684122868301,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH23,2829a5cf2d572c39e9da4763e582a109349ad4c016aa80d4f8e0d7886a695416,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06203139458044294,3361,1.0,0.9999999999999999,0.012159147269968534,0.005727267158324425,0.8571428571428571,0.04549385524416353,0.006083931655519992,0.0012528455151405,0.0090427193914192,0.9344725631610293,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH24,5b49dc01667fe23744db9e6ab4b2deaede12b1990b34fda3abd04da77a8a8cd4,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06266752697671923,3361,1.0,0.9999999999999999,0.012197170914193861,0.005740046156402989,0.8571428571428571,0.04568647146327426,0.0061076472140159325,0.0012528455151405,0.0090427193914192,0.9342723694838762,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH25,14a903429cf0bed8215bce2d613fbb1e8b6bd655a0188a4775ee18b74ecc63c8,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06334594771211148,3361,1.0,0.9999999999999999,0.012289158459050943,0.005762552092329906,0.7857142857142857,0.045914278958731555,0.006149322541278242,0.0012528455151405,0.0090427193914192,0.934078389236521,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH26,a58716694ae7d78f50752813a62d5b158c57ef494c1f4bd814de5cd4ee4ebefa,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06385584747217664,3361,1.0,0.9999999999999999,0.01227204615341257,0.005764252414175669,0.7857142857142857,0.046039124854403354,0.006141557071464943,0.0012528455151405,0.0090427193914192,0.933896835848762,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH27,db9f0905912dbf14588dba5f2708cb9c8cc453d745a7fb57d4ad189f8829874a,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06417717635033067,3361,1.0,0.9999999999999999,0.012153588414805287,0.0057504113744538485,0.7857142857142857,0.04605929964447945,0.006085301346716397,0.0012528455151405,0.0090427193914192,0.9337119484255018,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH28,28c930dd6bbd27bf611d912fa9bee4e6168913c41bdbd86725a19438afefd4ae,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06452470634211414,3361,1.0,0.9999999999999999,0.012223525151076081,0.005736044309944758,0.7857142857142857,0.04607447102548715,0.00612107163796059,0.0012528455151405,0.0090427193914192,0.9335390332206328,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH29,2e45c971e53cee628c84f6c37aa8e89d56276914a542e505e309266f0831eb2e,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06477004616302563,3361,1.0,0.9999999999999999,0.012256340180754699,0.005717809059675133,0.7857142857142857,0.04602347792714462,0.006131200382425456,0.0012528455151405,0.0090427193914192,0.9333697551454019,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH30,ef77fb965da1f197bc50566b57ad2de9c70f49a822d0169f4d6436184035d1e4,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06498792116992026,3361,0.9285714285714286,0.9999999999999999,0.012148275426703697,0.005696476821790045,0.7857142857142857,0.04597202956342204,0.006084664824024984,0.0012528455151405,0.0090427193914192,0.9332027502761945,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH31,2d1b5e8671304c6cd2a58fead1cd79dd7a84ea3e2a4da3a07a7e8f37eb0c31eb,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06515847911128725,3361,0.9285714285714286,0.9999999999999999,0.012090822984186143,0.005668219443581215,0.7857142857142857,0.04587108950646243,0.006055473159538613,0.0012528455151405,0.0090427193914192,0.9330405949131712,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH32,ef5ef2db9636020fa62c214700c59c6ec2219294b227c132568ef95ab82ed6cc,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06522415014913678,3361,0.9285714285714286,0.9999999999999999,0.012055838595593131,0.005624104977498028,0.7857142857142857,0.04566453497095799,0.0060380480006031745,0.0012528455151405,0.0090427193914192,0.9328823797739221,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH33,cdab4c1a20196a98d19e8f088ca4c82dd066c0650eb845253ccd5a93d0f9222b,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06518123312080869,3361,0.9285714285714286,0.9999999999999999,0.0120292587239449,0.005580257813167718,0.7857142857142857,0.04544423807318605,0.006018159323356808,0.0012528455151405,0.0090427193914192,0.9327347729294503,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH34,53ac97ea847cc718993ee8dcbfad87be51c165991549e47aaa6b44593eada5c5,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06503290690364813,3361,0.9285714285714286,0.9999999999999999,0.011946378686410209,0.00552841961749588,0.7857142857142857,0.045143822112281226,0.005973576119032401,0.0012528455151405,0.0090427193914192,0.9325938341559813,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH35,247b378c3edb1aa9bbae38bd0f810e3d26548c88c8b93c76f20e9cf33da96423,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06492599610129503,3361,0.8571428571428571,0.9999999999999999,0.011929719471395706,0.005484029512252124,0.7857142857142857,0.0448980120153732,0.00597192734276411,0.0012528455151405,0.0090427193914192,0.9324469850468508,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH36,13f34ca9a397381f55f420ef09674f7d549cfae0a13950773a938fd918587b56,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06483604043407776,3361,0.8571428571428571,0.9999999999999999,0.011760762463768556,0.005439458575538284,0.7857142857142857,0.04463696338629518,0.005885825102277719,0.0012528455151405,0.0090427193914192,0.9323077132911325,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH37,22f8289f8c32292359ca006855368b7cc6f8f11bda78727646b12cb82b63db2b,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06469681573300952,3361,0.8571428571428571,0.9999999999999999,0.011651457321251633,0.005395049882180069,0.7857142857142857,0.044377089767988286,0.0058292038555868095,0.0012528455151405,0.0090427193914192,0.9321696539119603,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH38,a2fe1e9f88a0698513d3bc27380419efaa3aa056c33199b1a217c93135de81aa,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06448094784307605,3361,0.9285714285714286,0.9999999999999999,0.01160185674765383,0.00534633149874285,0.7857142857142857,0.04410372295636238,0.005809516711635137,0.0012528455151405,0.0090427193914192,0.9320353832094941,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH39,b68ac0641dc234069c956d41f82d04a6c32c81516154d1e31b5bd3d93c5c8111,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.0642768128412182,3361,0.9285714285714286,0.9999999999999999,0.011408213730757238,0.005309258612346137,0.7857142857142857,0.04389300404127553,0.005709998628127736,0.0012528455151405,0.0090427193914192,0.9319089929545767,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH40,7a3f91c6c679770abe3004b5c8e31fbba956fe564f21cc175bb2208fcf8dc974,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06410124744340918,3361,0.8571428571428571,0.9999999999999999,0.011414550924767732,0.00528882596982377,0.7857142857142857,0.04374821441497712,0.005711845719966146,0.0012528455151405,0.0090427193914192,0.9317882099411846,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH41,cb4e5c05c8d9a41629995c524f65720ae9559a4dc07c5b1c002ba3ed3a110662,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06383354875309134,3361,0.8571428571428571,0.9999999999999999,0.011287807409411897,0.005251829804539495,0.7857142857142857,0.0435166060121232,0.005651547207128091,0.0012528455151405,0.0090427193914192,0.9316766712989554,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH42,30c42fabca595a157ca3d3e800837878e27dda65d7c6975303b61aef20196500,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06352127441071481,3361,0.8571428571428571,0.9999999999999999,0.011094932784822532,0.005203160547529973,0.7857142857142857,0.04324097844044646,0.005552654163260383,0.0012528455151405,0.0090427193914192,0.9315701337099783,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH43,e84784ae5ea8b722402ace20f8614e9ac1b2d985406ec7d9f830e231ecb5f9c2,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06319522859002015,3361,0.8571428571428571,0.9999999999999999,0.010949662566709558,0.005151976189458159,0.7857142857142857,0.042938816466257794,0.005485678783868354,0.0012528455151405,0.0090427193914192,0.9314654146858202,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH44,949c2d944d2d2c2558cd6362ff9e00235b7a08c38cb84f90016af4bda08930f1,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06297066173642601,3361,0.8571428571428571,0.9999999999999999,0.010849761493698916,0.005100267899634342,0.7857142857142857,0.0426845610464016,0.00541883304117426,0.0012528455151405,0.0090427193914192,0.9313588770968432,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH45,6da33434713b4e42c387cef2a721c4a46677e15a5eda813eacf264bf60f75134,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06271086822680964,3361,0.8571428571428571,0.9999999999999999,0.010748513963429584,0.005046713148426574,0.7857142857142857,0.042420487625973585,0.0053809809859892595,0.0012528455151405,0.0090427193914192,0.9312487023782281,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH46,746c353043d79d8bc5fbe9e1761b26a582a6e43c7d84e2770d22c18c5eee1a2e,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06237734607828808,3361,0.8571428571428571,0.9999999999999999,0.010659207034181146,0.005000179810048354,0.7857142857142857,0.04220379264345107,0.005329413757449875,0.0012528455151405,0.0090427193914192,0.9311479235778444,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH47,c9b15bff452aa05c8bba3812f597f1d0ba45b664bffe22c9dc674b74b8fdb1c5,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.062046492702305917,3361,0.8571428571428571,0.9999999999999999,0.010548508401542268,0.004962100172039699,0.7857142857142857,0.042036208482961704,0.005277522839907503,0.0012528455151405,0.0090427193914192,0.931046690136256,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH48,d14e997e4803e9d9cd1649e24b2c4343075afa7fda3578f23d2e7fb13be1ae07,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06181762262928885,3361,0.8571428571428571,0.9999999999999999,0.010435425081211596,0.004933317437943511,0.7857142857142857,0.041872741646239144,0.0052242201548344976,0.0012528455151405,0.0090427193914192,0.9309553072541035,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH49,188e431e7cdd82367f841ebd33f3aa8de62022779f3325fa49d0e62068b58e52,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06164997237377416,3361,0.8571428571428571,0.9999999999999999,0.010405012039865599,0.004910967517487268,0.7857142857142857,0.041786184869680526,0.0052136453630937,0.0012528455151405,0.0090427193914192,0.9308681676898619,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH50,3b75bbf67a648961a8019a72ffdcdbe06583512f891bad45cdd9e7576985c5bb,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06141483902112153,3361,0.8571428571428571,0.9999999999999999,0.010349628094943166,0.004881228817026772,0.7857142857142857,0.04162144078992433,0.005176678097479703,0.0012528455151405,0.0090427193914192,0.9307837559728488,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH51,fe7d10e5e999bb805c50c1fb2f7a040ee4e5cbd83731f7b383fadeec6d0210f1,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.0611821282326148,3361,0.8571428571428571,0.9999999999999999,0.010261636236279535,0.004848838306638338,0.7857142857142857,0.04143066043876148,0.005126537385439575,0.0012528455151405,0.0090427193914192,0.9306943432025836,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH52,333aa203da70f6cd8ad5938b564704a8cef1050bc2ae99d40e8abc4286369bae,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06090703011006598,3361,0.8571428571428571,0.9999999999999999,0.010165544775213762,0.004810663114672629,0.7857142857142857,0.041153141842689395,0.005086364789929788,0.0012528455151405,0.0090427193914192,0.9306049304323183,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH53,9e8698c18d5db5ebbbbfe72725eaa45674044ef11e90c516b5c9182efc523e82,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06054476470875837,3361,0.8571428571428571,0.9999999999999999,0.01005318008810801,0.0047706994786654985,0.7857142857142857,0.040841168905793666,0.0050342495932436965,0.0012528455151405,0.0090427193914192,0.9305073341203678,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH54,e6096a05af4ab2255d3c01899215c9d0a75f5b382ae6906b56585be2d961aef9,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.06024417366560681,3361,0.8571428571428571,0.9999999999999999,0.009984541857054783,0.004735895155541321,0.7857142857142857,0.04059184973817447,0.0049983019327569786,0.0012528455151405,0.0090427193914192,0.9304253471564465,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
alpha360_HIGH55,9e938fbcdd966697d135bb452d9ef606a45d31c2e2e1cb96e61847aaa2adaf05,alpha360,PriceTrend,TechnicalPriceVolume,1.0,development_data_derived_not_economic_prior,26559c272310fd361fcb0c8de4b658b77946058241e4bf26ede281a71d64950b,3/3,3,3,pass,pass,pass,all_conditions_pass,all_conditions_pass,all_conditions_pass,0.059969411559556145,3361,0.8571428571428571,0.9999999999999999,0.009948431038451725,0.004711564322462789,0.7857142857142857,0.040400757020403424,0.004977570880756641,0.0012528455151405,0.0090427193914192,0.9303513921871425,False,False,raw_universe_no_tradability_cost_test;correlated_native_profiles;development_derived_direction;recent_diagnostic_not_run
